timestamp,retrieved,channel,kind,detail,clock_ok
,2024-02-12,in,restart_marker,line 13,0
,2024-02-12,in,restart_marker,line 1,0
,2024-02-12,in,restart_marker,line 3,0
,2024-02-12,in,restart_marker,line 10,0
,2024-02-12,in,restart_marker,line 5,0
,2024-02-12,in,restart_marker,line 7,0
,2024-02-12,in,restart_marker,line 6,0
,2024-02-12,in,restart_marker,line 12,0
,2024-02-12,in,restart_marker,line 8,0
,2024-02-12,in,restart_marker,line 14,0
,2024-02-12,in,restart_marker,line 11,0
,2024-02-12,in,restart_marker,line 9,0
,2024-02-12,out,restart_marker,line 75,0
,2024-02-12,out,restart_marker,line 64,0
,2024-02-12,out,restart_marker,line 23,0
,2024-02-12,out,restart_marker,line 54,0
,2024-02-12,out,restart_marker,line 86,0
,2024-02-12,out,restart_marker,line 141,0
,2024-02-12,out,restart_marker,line 1,0
,2024-02-12,out,restart_marker,line 43,0
,2024-02-12,out,restart_marker,line 119,0
,2024-02-12,out,restart_marker,line 97,0
,2024-02-12,out,restart_marker,line 34,0
,2024-02-12,out,restart_marker,line 12,0
,2024-02-12,out,restart_marker,line 130,0
,2024-02-12,out,restart_marker,line 108,0
,2024-02-12,tandh1,restart_marker,line 3566,0
,2024-06-11,err,restart_marker,line 3711,0
,2024-06-11,err,restart_marker,line 505,0
,2024-06-11,err,restart_marker,line 3256,0
,2024-06-11,err,restart_marker,line 1102,0
,2024-06-11,err,restart_marker,line 2736,0
,2024-06-11,err,restart_marker,line 2542,0
,2024-06-11,err,restart_marker,line 922,0
,2024-06-11,err,restart_marker,line 154,0
,2024-06-11,err,restart_marker,line 1383,0
,2024-06-11,err,restart_marker,line 2999,0
,2024-06-11,err,restart_marker,line 2912,0
,2024-06-11,err,restart_marker,line 196,0
,2024-06-11,err,restart_marker,line 276,0
,2024-06-11,err,restart_marker,line 2442,0
,2024-06-11,err,restart_marker,line 1934,0
,2024-06-11,err,restart_marker,line 2964,0
,2024-06-11,err,restart_marker,line 547,0
,2024-06-11,err,restart_marker,line 2658,0
,2024-06-11,err,restart_marker,line 588,0
,2024-06-11,err,restart_marker,line 3258,0
,2024-06-11,err,restart_marker,line 1869,0
,2024-06-11,err,restart_marker,line 1987,0
,2024-06-11,err,restart_marker,line 2023,0
,2024-06-11,err,restart_marker,line 76,0
,2024-06-11,err,restart_marker,line 1341,0
,2024-06-11,err,restart_marker,line 1182,0
,2024-06-11,err,restart_marker,line 243,0
